date,sentiment_score,sentiment_num
2017-02-20,-0.1027,-1.0
2017-02-23,0.0,0.0
2017-02-27,0.4404,1.0
2017-03-05,0.0,0.0
2017-03-26,0.0,0.0
2017-03-31,0.0,0.0
2017-04-03,-0.296,-1.0
2017-04-20,0.7456,1.0
2017-05-16,-0.3612,-1.0
2017-05-27,0.0,0.0
2017-05-28,0.0,0.0
2017-06-09,-0.3903,-1.0
2017-06-13,0.0,0.0
2017-06-25,0.296,1.0
2017-07-02,0.3818,1.0
2017-09-05,0.0,0.0
2017-09-29,-0.3612,-1.0
2017-11-04,0.0,0.0
2017-11-17,0.5319,1.0
2017-11-29,0.0,0.0
2018-01-03,0.0,0.0
2018-02-06,-0.1531,-1.0
2018-02-10,0.0,0.0
2018-02-23,0.368,1.0
2018-03-06,-0.7184,-1.0
2018-03-16,0.0,0.0
2018-03-28,0.0,0.0
2018-04-04,-0.08025000000000002,0.0
2018-04-09,0.4767,1.0
2018-04-14,0.6369,1.0
2018-04-26,0.3818,1.0
2018-05-02,0.3818,1.0
2018-05-14,0.0,0.0
2018-05-27,-0.5106,-1.0
2018-05-30,-0.34,-1.0
2018-07-05,0.0,0.0
2018-07-24,0.0,0.0
2018-09-03,0.1909,0.5
2018-09-19,-0.5859,-1.0
2018-09-27,0.4767,1.0
2018-10-05,0.0,0.0
2018-10-18,0.0,0.0
2018-10-23,0.4019,1.0
2018-10-26,-0.2732,-1.0
2018-11-02,0.0,0.0
2018-11-04,0.0,0.0
2018-11-23,0.1909,0.5
2018-11-29,0.296,1.0
2018-12-14,0.0,0.0
2018-12-27,0.0,0.0
2019-01-25,0.0,0.0
2019-02-06,0.6369,1.0
2019-02-20,-0.5423,-1.0
2019-03-03,0.0,0.0
2019-03-09,0.4939,1.0
2019-03-17,0.0,0.0
2019-03-27,-0.2732,-1.0
2019-03-30,0.0,0.0
2019-04-01,0.0,0.0
2019-04-02,-0.1366,-0.5
2019-04-05,0.0,0.0
2019-04-11,0.4404,1.0
2019-04-19,0.0,0.0
2019-04-21,0.0,0.0
2019-05-03,-0.06440000000000004,0.0
2019-05-06,0.0,0.0
2019-05-24,-0.1779,-1.0
2019-06-01,0.3818,1.0
2019-06-02,0.0,0.0
2019-06-10,-0.296,-1.0
2019-06-12,-0.5106,-1.0
2019-08-18,0.0,0.0
2019-08-25,0.2732,1.0
2019-08-27,-0.1909,-0.5
2019-09-01,-0.4404,-1.0
2019-09-06,0.0,0.0
2019-09-11,0.0258,0.0
2019-09-20,0.6486,1.0
2019-10-04,0.0,0.0
2019-10-10,0.765,1.0
2019-10-14,0.0,0.0
2019-10-22,-0.4939,-1.0
2019-11-12,0.0,0.0
2019-11-22,0.5994,1.0
2019-11-29,-0.3818,-1.0
2019-11-30,0.2997,0.5
2019-12-03,0.0,0.0
2019-12-05,0.1779,1.0
2019-12-13,0.0,0.0
2019-12-28,0.0,0.0
2019-12-29,0.296,1.0
2020-01-04,-0.2846,-1.0
2020-01-06,0.0,0.0
2020-01-07,0.08274999999999996,0.0
2020-01-19,0.3818,1.0
2020-01-28,0.7003,1.0
2020-01-29,-0.4767,-1.0
2020-02-06,0.6808,1.0
2020-02-09,0.0,0.0
2020-02-17,0.0,0.0
2020-02-20,0.0,0.0
2020-02-23,0.1531,1.0
2020-03-05,0.0,0.0
2020-03-19,0.5319,1.0
2020-03-20,-0.1697,-1.0
2020-03-24,0.2263,1.0
2020-03-30,0.0,0.0
2020-04-06,0.0,0.0
2020-04-11,-0.1531,-1.0
2020-04-17,0.0,0.0
2020-04-19,0.0,0.0
2020-04-20,0.0,0.0
2020-04-27,-0.0688,-1.0
2020-05-07,0.0,0.0
2020-05-22,-0.6249,-1.0
